,Total,Utility_Gas,BottledTankLPGas,Electricity,Fuel,Coal,Wood,Solar,Other,state,county
0,21559.0,7563.0,1973.0,11773.0,8.0,0.0,131.0,0.0,0.0,01,001
1,84047.0,8068.0,1687.0,73262.0,36.0,0.0,499.0,30.0,12.0,01,003
2,9322.0,558.0,955.0,7671.0,38.0,0.0,57.0,0.0,8.0,01,005
3,7259.0,1793.0,570.0,4587.0,0.0,0.0,282.0,0.0,0.0,01,007
4,21205.0,2453.0,2325.0,15997.0,25.0,0.0,305.0,19.0,4.0,01,009
5,3429.0,293.0,736.0,2331.0,0.0,0.0,69.0,0.0,0.0,01,011
6,6649.0,848.0,1231.0,4464.0,0.0,0.0,76.0,0.0,0.0,01,013
7,44572.0,13341.0,2567.0,27815.0,35.0,0.0,565.0,0.0,19.0,01,015
8,5226.0,445.0,896.0,2982.0,35.0,31.0,837.0,0.0,0.0,21,135
9,9677.0,967.0,417.0,6864.0,164.0,54.0,1062.0,0.0,91.0,21,137
10,3803.0,385.0,1403.0,1741.0,48.0,26.0,102.0,0.0,98.0,21,139
11,10459.0,3378.0,2473.0,4122.0,6.0,0.0,466.0,0.0,14.0,21,141
12,3266.0,721.0,561.0,1792.0,0.0,0.0,74.0,0.0,0.0,21,143
13,27787.0,13993.0,1726.0,11810.0,20.0,0.0,97.0,0.0,72.0,21,145
14,6187.0,400.0,471.0,4410.0,133.0,0.0,748.0,0.0,0.0,21,147
15,33876.0,5172.0,634.0,27220.0,58.0,44.0,436.0,93.0,51.0,21,151
16,7433.0,1863.0,766.0,4272.0,39.0,0.0,457.0,19.0,0.0,21,155
17,13119.0,6182.0,1746.0,4944.0,0.0,4.0,201.0,0.0,42.0,21,157
18,6523.0,2194.0,373.0,3626.0,21.0,16.0,256.0,0.0,0.0,21,161
19,10690.0,1233.0,1653.0,7314.0,49.0,0.0,393.0,0.0,6.0,21,163
20,8718.0,2211.0,572.0,5655.0,32.0,0.0,235.0,0.0,4.0,21,167
21,4187.0,1221.0,353.0,2056.0,4.0,0.0,518.0,0.0,35.0,21,169
22,10653.0,3051.0,476.0,6799.0,12.0,0.0,259.0,0.0,21.0,21,173
23,4796.0,350.0,1178.0,2781.0,68.0,27.0,387.0,0.0,5.0,21,175
24,17991.0,2813.0,1490.0,12778.0,197.0,29.0,509.0,9.0,64.0,21,179
25,2714.0,511.0,285.0,1588.0,26.0,0.0,247.0,0.0,31.0,21,181
26,21259.0,9972.0,1035.0,9773.0,137.0,10.0,166.0,10.0,42.0,21,185
27,4246.0,202.0,1169.0,2474.0,82.0,0.0,254.0,27.0,26.0,21,187
28,5250.0,1174.0,1134.0,2173.0,329.0,0.0,241.0,8.0,97.0,21,191
29,25506.0,3229.0,835.0,20130.0,345.0,253.0,601.0,0.0,58.0,21,195
30,4698.0,1135.0,462.0,2656.0,44.0,0.0,401.0,0.0,0.0,21,197
31,859.0,151.0,82.0,498.0,5.0,0.0,110.0,0.0,13.0,21,201
32,6609.0,88.0,561.0,4960.0,222.0,22.0,698.0,0.0,33.0,21,203
33,7122.0,164.0,221.0,6268.0,68.0,19.0,336.0,0.0,25.0,21,207
34,21186.0,4463.0,1403.0,14857.0,30.0,43.0,233.0,0.0,74.0,21,209
35,7181.0,2706.0,832.0,3562.0,8.0,36.0,37.0,0.0,0.0,21,213
36,6899.0,325.0,1906.0,4379.0,30.0,0.0,249.0,0.0,6.0,21,215
37,4655.0,715.0,1105.0,2436.0,77.0,0.0,277.0,0.0,45.0,21,219
38,3398.0,444.0,414.0,2079.0,162.0,0.0,227.0,0.0,51.0,21,223
39,5176.0,1841.0,625.0,2552.0,32.0,0.0,124.0,0.0,0.0,21,225
40,4702.0,593.0,588.0,3064.0,42.0,7.0,359.0,0.0,43.0,21,229
41,8298.0,181.0,728.0,6563.0,44.0,0.0,701.0,0.0,49.0,21,231
42,12685.0,4401.0,789.0,6667.0,64.0,118.0,518.0,0.0,96.0,21,235
43,2991.0,410.0,578.0,1355.0,190.0,20.0,385.0,0.0,53.0,21,237
44,45906.0,6522.0,3894.0,2664.0,28494.0,31.0,2750.0,77.0,1127.0,23,001
45,29594.0,150.0,935.0,2688.0,20776.0,349.0,3848.0,6.0,739.0,23,003
46,12426.0,86.0,1343.0,773.0,7012.0,7.0,2792.0,78.0,309.0,23,007
47,24116.0,101.0,4183.0,2017.0,13906.0,55.0,3491.0,80.0,235.0,23,009
48,17497.0,162.0,3027.0,1193.0,11200.0,22.0,1703.0,55.0,117.0,23,013
49,15665.0,295.0,2610.0,856.0,9167.0,59.0,2403.0,15.0,149.0,23,015
50,63073.0,5998.0,5447.0,6087.0,37863.0,150.0,5744.0,67.0,1396.0,23,019
51,7180.0,14.0,932.0,552.0,4141.0,8.0,1304.0,13.0,210.0,23,021
52,21645.0,187.0,1724.0,1167.0,14007.0,51.0,3859.0,59.0,437.0,23,025
53,13830.0,40.0,2112.0,834.0,8849.0,88.0,1738.0,6.0,142.0,23,029
54,86919.0,3239.0,11384.0,6090.0,58910.0,71.0,5360.0,213.0,1361.0,23,031
55,129308.0,109774.0,3073.0,13814.0,399.0,0.0,680.0,19.0,867.0,27,003
56,13942.0,3665.0,4155.0,3862.0,555.0,0.0,1353.0,4.0,239.0,27,005
57,17882.0,5625.0,5060.0,4831.0,518.0,0.0,1469.0,0.0,259.0,27,007
58,16482.0,8567.0,2040.0,4652.0,298.0,2.0,485.0,6.0,295.0,27,009
59,2294.0,635.0,763.0,696.0,103.0,0.0,41.0,0.0,41.0,27,011
60,26390.0,17532.0,3621.0,4361.0,208.0,2.0,247.0,11.0,229.0,27,013
61,10643.0,6221.0,1777.0,1891.0,306.0,1.0,227.0,2.0,144.0,27,015
62,13811.0,4924.0,4305.0,2375.0,917.0,16.0,1004.0,2.0,193.0,27,017
63,37386.0,28901.0,2891.0,4708.0,333.0,0.0,179.0,0.0,217.0,27,019
64,13249.0,2518.0,5147.0,3266.0,358.0,7.0,1701.0,37.0,124.0,27,021
65,5133.0,2566.0,1103.0,1038.0,295.0,0.0,43.0,0.0,61.0,27,023
66,20370.0,13393.0,3406.0,2211.0,283.0,0.0,799.0,5.0,125.0,27,025
67,5079.0,254.0,371.0,4287.0,22.0,0.0,131.0,0.0,14.0,47,121
68,74606.0,15399.0,1679.0,56779.0,28.0,0.0,298.0,0.0,55.0,47,125
69,2599.0,130.0,563.0,1794.0,20.0,0.0,71.0,0.0,0.0,47,127
70,12633.0,4945.0,806.0,6706.0,21.0,0.0,57.0,0.0,20.0,47,131
71,8969.0,1314.0,858.0,5810.0,18.0,0.0,928.0,0.0,23.0,47,133
72,2211.0,101.0,546.0,1430.0,6.0,0.0,116.0,0.0,0.0,47,137
73,7448.0,264.0,1743.0,4838.0,150.0,0.0,380.0,32.0,14.0,47,139
74,12324.0,4789.0,263.0,6936.0,11.0,0.0,271.0,0.0,6.0,47,143
75,21596.0,7212.0,1006.0,12534.0,102.0,12.0,550.0,0.0,49.0,47,145
76,115249.0,27277.0,1866.0,84838.0,70.0,0.0,527.0,14.0,141.0,47,149
77,8625.0,4721.0,295.0,3148.0,30.0,0.0,400.0,0.0,25.0,47,151
78,5539.0,796.0,695.0,3559.0,182.0,0.0,277.0,0.0,0.0,47,153
79,356607.0,181958.0,3579.0,168506.0,214.0,76.0,441.0,72.0,359.0,47,157
80,7688.0,2461.0,430.0,4473.0,24.0,3.0,277.0,0.0,0.0,47,159
81,66645.0,6415.0,1349.0,57108.0,316.0,32.0,835.0,10.0,150.0,47,163
82,68654.0,28200.0,2103.0,37533.0,48.0,11.0,492.0,16.0,39.0,47,165
83,3398.0,469.0,356.0,2335.0,76.0,0.0,119.0,0.0,0.0,47,169
84,7683.0,2356.0,375.0,4420.0,192.0,0.0,313.0,0.0,0.0,47,171
85,2242.0,244.0,236.0,1363.0,115.0,0.0,267.0,9.0,8.0,47,175
86,15515.0,3621.0,442.0,10787.0,118.0,0.0,412.0,0.0,53.0,47,177
87,5737.0,789.0,793.0,3758.0,0.0,0.0,392.0,0.0,5.0,47,181
88,13563.0,3868.0,739.0,8587.0,46.0,0.0,292.0,0.0,6.0,47,183
89,81041.0,44386.0,2852.0,33168.0,52.0,0.0,204.0,18.0,185.0,47,187
90,51348.0,17461.0,1958.0,31414.0,24.0,0.0,391.0,0.0,19.0,47,189
91,17811.0,14622.0,847.0,1687.0,8.0,0.0,274.0,36.0,279.0,49,003
92,39581.0,32831.0,1502.0,4547.0,162.0,9.0,215.0,132.0,116.0,49,005
93,169.0,5.0,98.0,21.0,0.0,0.0,42.0,0.0,3.0,49,009
94,107104.0,94865.0,937.0,10490.0,21.0,31.0,218.0,322.0,50.0,49,011
95,3732.0,2346.0,367.0,529.0,0.0,204.0,257.0,9.0,15.0,49,015
96,1851.0,404.0,189.0,668.0,76.0,2.0,464.0,3.0,41.0,49,017
97,4442.0,3218.0,143.0,733.0,0.0,7.0,323.0,16.0,2.0,49,019
98,17381.0,10881.0,664.0,4927.0,128.0,0.0,688.0,41.0,22.0,49,021
99,3478.0,2361.0,167.0,762.0,13.0,14.0,130.0,5.0,12.0,49,023
100,2847.0,221.0,824.0,1065.0,28.0,28.0,552.0,3.0,31.0,49,025
101,4293.0,3228.0,315.0,505.0,0.0,19.0,154.0,2.0,55.0,49,027
102,3434.0,3007.0,161.0,216.0,0.0,0.0,47.0,3.0,0.0,49,029
103,590.0,304.0,14.0,181.0,21.0,1.0,66.0,0.0,3.0,49,031
104,641.0,298.0,214.0,52.0,2.0,0.0,75.0,0.0,0.0,49,033
105,383324.0,329398.0,4656.0,45457.0,210.0,46.0,454.0,818.0,1126.0,49,035
106,4577.0,1445.0,614.0,677.0,29.0,5.0,1666.0,23.0,118.0,49,037
107,8887.0,6830.0,610.0,763.0,18.0,101.0,404.0,106.0,55.0,49,039
108,7487.0,5769.0,327.0,879.0,21.0,59.0,344.0,10.0,7.0,49,041
109,14474.0,12384.0,609.0,941.0,24.0,0.0,352.0,32.0,129.0,49,043
110,21147.0,18271.0,661.0,1803.0,33.0,21.0,254.0,35.0,43.0,49,045
111,10739.0,6088.0,1504.0,2106.0,10.0,6.0,797.0,9.0,146.0,49,047
112,171899.0,141757.0,3077.0,25187.0,76.0,97.0,704.0,447.0,307.0,49,049
113,10505.0,8309.0,634.0,1059.0,6.0,17.0,356.0,20.0,88.0,49,051
114,59699.0,31885.0,1308.0,25148.0,17.0,29.0,841.0,156.0,145.0,49,053
115,995.0,24.0,178.0,432.0,77.0,36.0,220.0,4.0,24.0,49,055
116,85205.0,74190.0,1107.0,9067.0,0.0,0.0,349.0,137.0,193.0,49,057
117,14585.0,303.0,2053.0,931.0,9087.0,131.0,1693.0,19.0,352.0,50,003
118,12618.0,208.0,2652.0,380.0,6116.0,66.0,2775.0,19.0,357.0,50,005
119,2882.0,31.0,317.0,42.0,1592.0,0.0,801.0,3.0,89.0,50,009
120,19045.0,5024.0,2806.0,810.0,7105.0,8.0,3036.0,8.0,242.0,50,011
121,10770.0,361.0,3158.0,448.0,4566.0,24.0,1904.0,66.0,193.0,50,015
122,12670.0,107.0,3067.0,272.0,5390.0,3.0,3460.0,94.0,250.0,50,017
123,25349.0,408.0,3609.0,1082.0,16353.0,76.0,3414.0,21.0,338.0,50,021
124,25310.0,502.0,6538.0,1280.0,12720.0,22.0,3685.0,98.0,433.0,50,023
125,24629.0,784.0,5682.0,1380.0,11844.0,31.0,4240.0,87.0,531.0,50,027
126,13641.0,179.0,2846.0,7731.0,2427.0,0.0,358.0,17.0,64.0,51,001
127,4371.0,2417.0,967.0,733.0,108.0,0.0,57.0,5.0,65.0,27,165
128,40397.0,22311.0,4122.0,12510.0,129.0,4.0,1080.0,58.0,100.0,29,037
129,32487.0,13304.0,6242.0,11092.0,12.0,0.0,1557.0,72.0,187.0,29,043
130,8100.0,3493.0,1600.0,2619.0,0.0,0.0,305.0,3.0,33.0,29,049
131,9798.0,895.0,2652.0,4730.0,33.0,0.0,1470.0,0.0,18.0,29,055
132,3002.0,804.0,1068.0,700.0,4.0,0.0,392.0,0.0,17.0,29,061
133,5317.0,798.0,1961.0,1194.0,21.0,0.0,1324.0,0.0,10.0,29,067
134,6154.0,897.0,1600.0,2604.0,98.0,0.0,895.0,0.0,49.0,29,073
135,3900.0,1355.0,813.0,1265.0,0.0,1.0,413.0,0.0,26.0,29,079
136,4012.0,26.0,1255.0,1929.0,145.0,0.0,546.0,0.0,47.0,29,085
137,15557.0,2692.0,4505.0,6034.0,69.0,15.0,2121.0,0.0,52.0,29,091
138,46461.0,20424.0,3152.0,21301.0,7.0,0.0,1377.0,2.0,87.0,29,097
139,19931.0,6396.0,2608.0,10216.0,32.0,0.0,523.0,0.0,103.0,29,101
140,12711.0,6185.0,2331.0,3792.0,5.0,0.0,359.0,3.0,15.0,29,107
141,19818.0,3503.0,2793.0,12886.0,9.0,0.0,487.0,10.0,88.0,29,113
142,8393.0,1293.0,1479.0,4002.0,1.0,0.0,1456.0,10.0,89.0,29,119
143,3808.0,65.0,1218.0,1399.0,19.0,0.0,962.0,0.0,127.0,29,125
144,10452.0,974.0,1570.0,6602.0,0.0,0.0,1166.0,0.0,78.0,29,131
145,3731.0,1140.0,848.0,1525.0,3.0,0.0,187.0,0.0,22.0,29,137
146,7281.0,2408.0,993.0,3760.0,0.0,0.0,71.0,6.0,12.0,29,143
147,4298.0,109.0,1580.0,1478.0,8.0,0.0,1090.0,6.0,1.0,29,149
148,6640.0,3240.0,1075.0,2219.0,0.0,24.0,64.0,0.0,13.0,29,155
149,3063.0,86.0,1226.0,785.0,8.0,0.0,940.0,0.0,0.0,29,203
150,12689.0,543.0,3605.0,7428.0,64.0,0.0,905.0,9.0,97.0,29,209
151,9852.0,811.0,2948.0,3943.0,8.0,0.0,2015.0,46.0,59.0,29,215
152,9278.0,884.0,1391.0,5598.0,2.0,0.0,1369.0,7.0,11.0,29,221
153,808.0,254.0,212.0,247.0,6.0,0.0,59.0,13.0,17.0,29,227
154,143566.0,99352.0,1714.0,40556.0,116.0,94.0,196.0,51.0,668.0,29,510
155,73536.0,6352.0,1214.0,65153.0,10.0,0.0,73.0,14.0,50.0,12,005
156,704942.0,16566.0,3058.0,653772.0,647.0,83.0,161.0,576.0,297.0,12,011
157,64621.0,557.0,1142.0,61973.0,72.0,0.0,270.0,74.0,38.0,12,017
158,25205.0,752.0,544.0,23157.0,105.0,0.0,339.0,0.0,30.0,12,023
159,369704.0,8878.0,3082.0,352284.0,1168.0,93.0,326.0,263.0,162.0,12,031
160,4691.0,46.0,272.0,4266.0,28.0,0.0,1.0,8.0,0.0,12,037
161,4859.0,44.0,62.0,4651.0,0.0,0.0,27.0,0.0,0.0,12,043
162,7991.0,38.0,215.0,7561.0,0.0,0.0,0.0,0.0,0.0,12,049
163,42721.0,425.0,658.0,40806.0,12.0,0.0,50.0,5.0,0.0,12,055
164,60959.0,1395.0,532.0,57945.0,75.0,0.0,21.0,36.0,49.0,12,061
165,2315.0,34.0,145.0,2082.0,0.0,0.0,0.0,0.0,0.0,12,067
166,116530.0,10508.0,2232.0,101882.0,381.0,0.0,419.0,49.0,26.0,12,073
167,2513.0,28.0,107.0,2350.0,3.0,0.0,8.0,0.0,0.0,12,077
168,145863.0,13548.0,2226.0,127488.0,359.0,3.0,405.0,172.0,109.0,12,083
169,32794.0,267.0,554.0,29192.0,14.0,0.0,4.0,43.0,0.0,12,087
170,14601.0,222.0,309.0,13809.0,18.0,0.0,12.0,24.0,0.0,12,093
171,192.0,3.0,134.0,40.0,1.0,0.0,11.0,0.0,3.0,31,005
172,2261.0,852.0,220.0,1066.0,9.0,0.0,100.0,0.0,8.0,31,011
173,1333.0,572.0,206.0,471.0,23.0,0.0,43.0,0.0,18.0,31,017
174,3387.0,961.0,1107.0,1082.0,35.0,0.0,117.0,0.0,52.0,31,023
175,5748.0,1678.0,1151.0,1759.0,389.0,0.0,681.0,0.0,72.0,27,159
176,1591.0,658.0,342.0,545.0,14.0,0.0,18.0,0.0,9.0,31,029
177,2575.0,1471.0,152.0,839.0,0.0,0.0,43.0,0.0,66.0,31,035
178,3854.0,1771.0,647.0,1107.0,119.0,0.0,65.0,0.0,124.0,31,039
179,3555.0,1776.0,361.0,1275.0,52.0,0.0,59.0,0.0,32.0,31,045
180,2376.0,759.0,641.0,796.0,23.0,0.0,108.0,0.0,33.0,31,051
181,842.0,328.0,250.0,204.0,3.0,0.0,15.0,0.0,42.0,31,057
182,1136.0,371.0,332.0,339.0,1.0,0.0,56.0,0.0,31.0,31,063
183,929.0,358.0,243.0,278.0,0.0,0.0,43.0,0.0,7.0,31,069
184,297.0,16.0,157.0,92.0,0.0,0.0,18.0,0.0,14.0,31,075
185,3622.0,1984.0,340.0,1208.0,0.0,0.0,35.0,0.0,55.0,31,081
186,10836.0,1562.0,2629.0,6225.0,10.0,0.0,338.0,0.0,57.0,01,019
187,17140.0,1280.0,2731.0,12779.0,31.0,0.0,279.0,0.0,3.0,01,021
188,5330.0,254.0,1120.0,3689.0,14.0,0.0,246.0,0.0,0.0,01,023
189,9323.0,2021.0,1228.0,5855.0,5.0,0.0,129.0,0.0,0.0,01,025
190,5153.0,1016.0,643.0,3058.0,0.0,8.0,395.0,0.0,0.0,01,027
191,5835.0,450.0,1462.0,3602.0,23.0,0.0,221.0,0.0,68.0,01,029
192,19951.0,1458.0,887.0,17392.0,2.0,0.0,33.0,0.0,2.0,01,031
193,21797.0,6257.0,1811.0,13337.0,82.0,67.0,137.0,11.0,35.0,01,033
194,4585.0,690.0,553.0,3206.0,7.0,0.0,108.0,0.0,0.0,01,035
195,4016.0,209.0,843.0,2737.0,11.0,0.0,198.0,0.0,17.0,01,037
196,5011.0,577.0,933.0,3396.0,19.0,0.0,63.0,0.0,11.0,01,041
197,31733.0,3243.0,3753.0,23716.0,222.0,41.0,582.0,0.0,0.0,01,043
198,15409.0,6325.0,1664.0,7054.0,0.0,0.0,47.0,0.0,8.0,01,047
199,26365.0,3003.0,4855.0,17911.0,60.0,0.0,361.0,0.0,27.0,01,049
200,12931.0,1361.0,427.0,10898.0,0.0,0.0,128.0,0.0,2.0,01,053
201,38765.0,14102.0,2307.0,21893.0,104.0,0.0,314.0,0.0,5.0,01,055
202,11017.0,3779.0,843.0,6221.0,37.0,0.0,134.0,0.0,0.0,01,059
203,3178.0,533.0,612.0,1959.0,0.0,0.0,60.0,0.0,0.0,01,063
204,5490.0,767.0,666.0,3918.0,0.0,0.0,99.0,0.0,14.0,01,065
205,39784.0,2325.0,509.0,36561.0,24.0,1.0,89.0,2.0,3.0,01,069
206,20367.0,2253.0,2988.0,14393.0,33.0,0.0,602.0,0.0,14.0,01,071
207,5631.0,1438.0,675.0,3284.0,29.0,0.0,156.0,0.0,35.0,01,075
208,38513.0,10341.0,2249.0,25107.0,68.0,0.0,386.0,0.0,20.0,01,077
209,60731.0,10383.0,2123.0,47597.0,0.0,7.0,239.0,6.0,58.0,01,081
210,4213.0,329.0,1188.0,2624.0,3.0,0.0,40.0,0.0,10.0,01,085
211,7592.0,2588.0,1341.0,3504.0,16.0,0.0,36.0,0.0,79.0,01,087
212,7499.0,1227.0,1093.0,4999.0,25.0,0.0,103.0,0.0,0.0,01,091
213,11780.0,4562.0,758.0,6199.0,12.0,0.0,193.0,0.0,2.0,01,093
214,157557.0,57223.0,2059.0,96634.0,85.0,55.0,614.0,0.0,108.0,01,097
215,8050.0,739.0,676.0,6395.0,17.0,0.0,197.0,0.0,7.0,01,099
216,46388.0,9559.0,2321.0,33633.0,23.0,0.0,461.0,0.0,104.0,01,103
217,7731.0,1449.0,1009.0,4800.0,111.0,0.0,303.0,0.0,34.0,01,107
218,11700.0,1817.0,542.0,9096.0,1.0,0.0,104.0,0.0,19.0,01,109
219,23694.0,3371.0,1577.0,18486.0,28.0,0.0,100.0,0.0,5.0,01,113
220,32765.0,7966.0,2444.0,21896.0,5.0,0.0,290.0,0.0,52.0,01,115
221,5355.0,440.0,1034.0,3666.0,39.0,5.0,156.0,0.0,15.0,01,119
222,16359.0,2208.0,2077.0,11751.0,16.0,0.0,224.0,0.0,45.0,01,123
223,74713.0,21172.0,1474.0,51365.0,31.0,0.0,548.0,16.0,19.0,01,125
224,5830.0,345.0,1070.0,4046.0,0.0,0.0,369.0,0.0,0.0,01,129
225,3961.0,188.0,801.0,2857.0,0.0,0.0,64.0,0.0,25.0,01,131
226,573174.0,397155.0,8782.0,148944.0,419.0,139.0,1797.0,2587.0,1139.0,06,001
227,397.0,11.0,158.0,40.0,17.0,0.0,144.0,19.0,7.0,06,003
228,83879.0,41480.0,8728.0,24298.0,102.0,21.0,7289.0,848.0,558.0,06,007
229,7329.0,3608.0,496.0,2414.0,87.0,0.0,317.0,148.0,249.0,06,011
230,398299.0,270465.0,6468.0,106861.0,338.0,205.0,2468.0,5598.0,773.0,06,013
231,73078.0,24552.0,21449.0,15633.0,364.0,0.0,8849.0,737.0,1252.0,06,017
232,310097.0,173187.0,14693.0,106701.0,612.0,0.0,4088.0,5637.0,2354.0,06,019
233,13582.0,2128.0,1429.0,9711.0,13.0,0.0,256.0,0.0,2.0,01,017
234,54120.0,29334.0,4367.0,8797.0,503.0,0.0,9675.0,355.0,376.0,06,023
235,45768.0,16806.0,1111.0,25206.0,12.0,0.0,107.0,110.0,70.0,06,025
236,273556.0,169162.0,9460.0,80175.0,406.0,23.0,4289.0,2812.0,2835.0,06,029
237,43604.0,31504.0,1773.0,8841.0,39.0,0.0,290.0,568.0,209.0,06,031
238,9172.0,1420.0,1025.0,1308.0,1406.0,0.0,3718.0,13.0,269.0,06,035
239,44479.0,13371.0,9001.0,15270.0,210.0,0.0,4490.0,687.0,1117.0,06,039
240,104900.0,73275.0,4222.0,24469.0,63.0,0.0,1310.0,600.0,136.0,06,041
241,7846.0,304.0,2766.0,1391.0,110.0,0.0,2945.0,33.0,255.0,06,043
242,34164.0,10675.0,7367.0,6127.0,1607.0,13.0,7834.0,232.0,161.0,06,045
243,81306.0,39752.0,2875.0,34317.0,41.0,13.0,1371.0,766.0,1598.0,06,047
244,3594.0,180.0,363.0,627.0,689.0,0.0,1656.0,0.0,79.0,06,049
245,24695.0,11849.0,2341.0,8707.0,912.0,43.0,344.0,5.0,191.0,27,027
246,3452.0,596.0,1200.0,803.0,255.0,0.0,520.0,5.0,46.0,27,029
247,2608.0,80.0,1319.0,848.0,87.0,0.0,236.0,0.0,33.0,27,031
248,4915.0,2957.0,944.0,673.0,155.0,4.0,79.0,0.0,53.0,27,033
249,27605.0,15032.0,4745.0,5525.0,381.0,7.0,1343.0,7.0,347.0,27,035
250,163463.0,134518.0,4273.0,21479.0,387.0,2.0,355.0,40.0,1351.0,27,037
251,7776.0,4524.0,2086.0,812.0,67.0,0.0,177.0,0.0,66.0,27,039
252,16810.0,6339.0,4697.0,4482.0,429.0,0.0,586.0,0.0,227.0,27,041
253,6074.0,2793.0,2196.0,639.0,239.0,0.0,145.0,0.0,42.0,27,043
254,8652.0,4276.0,2576.0,972.0,102.0,0.0,636.0,15.0,42.0,27,045
255,19623.0,11073.0,4452.0,2878.0,264.0,2.0,621.0,10.0,221.0,27,049
256,2578.0,51.0,1452.0,704.0,282.0,0.0,54.0,0.0,24.0,27,051
257,8286.0,4284.0,1958.0,987.0,416.0,0.0,547.0,14.0,38.0,27,055
258,8792.0,1235.0,3164.0,2779.0,185.0,0.0,1200.0,8.0,157.0,27,057
259,19529.0,7209.0,5235.0,3157.0,1563.0,0.0,1953.0,22.0,297.0,27,061
260,6631.0,1482.0,3052.0,785.0,175.0,1.0,937.0,3.0,152.0,27,065
261,16853.0,8656.0,3777.0,3269.0,361.0,6.0,338.0,5.0,330.0,27,067
262,5796.0,2537.0,1324.0,1125.0,197.0,0.0,438.0,0.0,152.0,27,071
263,3048.0,1202.0,838.0,830.0,52.0,0.0,45.0,6.0,39.0,27,073
264,1522.0,363.0,584.0,380.0,1.0,0.0,179.0,0.0,6.0,27,077
265,11191.0,7337.0,1975.0,1305.0,63.0,0.0,349.0,5.0,101.0,27,079
266,10067.0,3866.0,2177.0,3492.0,206.0,0.0,73.0,0.0,111.0,27,083
267,14736.0,8215.0,2752.0,2831.0,392.0,0.0,264.0,0.0,150.0,27,085
268,3952.0,987.0,1366.0,1036.0,250.0,3.0,210.0,0.0,86.0,27,089
269,8824.0,5381.0,1902.0,1269.0,101.0,0.0,62.0,0.0,83.0,27,091
270,10535.0,4246.0,3432.0,1350.0,310.0,0.0,819.0,4.0,179.0,27,095
271,13536.0,5120.0,3422.0,2116.0,875.0,5.0,1710.0,6.0,183.0,27,097
272,3659.0,1030.0,1624.0,501.0,349.0,0.0,71.0,0.0,43.0,27,101
273,12821.0,8153.0,1665.0,2413.0,139.0,0.0,287.0,0.0,123.0,27,103
274,2771.0,735.0,686.0,835.0,340.0,1.0,145.0,0.0,24.0,27,107
275,63561.0,45194.0,5082.0,11350.0,298.0,0.0,617.0,6.0,507.0,27,109
276,5976.0,2796.0,1311.0,1434.0,141.0,1.0,152.0,0.0,109.0,27,113
277,11132.0,3146.0,4684.0,1544.0,275.0,0.0,1218.0,6.0,190.0,27,115
278,12619.0,5025.0,2564.0,3618.0,905.0,1.0,335.0,5.0,69.0,27,119
279,5010.0,1747.0,1949.0,828.0,194.0,1.0,201.0,0.0,78.0,27,121
280,1713.0,163.0,610.0,548.0,234.0,0.0,124.0,0.0,25.0,27,125
281,6262.0,2228.0,1994.0,1384.0,403.0,0.0,131.0,4.0,82.0,27,127
282,23183.0,14863.0,3410.0,3936.0,112.0,0.0,503.0,2.0,206.0,27,131
283,3990.0,1405.0,1261.0,1000.0,112.0,0.0,69.0,0.0,40.0,27,133
284,86229.0,42062.0,13994.0,15598.0,7377.0,65.0,3524.0,15.0,2691.0,27,137
285,50487.0,41185.0,1873.0,6584.0,102.0,2.0,270.0,12.0,227.0,27,139
286,6015.0,2808.0,1670.0,829.0,363.0,0.0,266.0,5.0,56.0,27,143
287,59576.0,30505.0,8482.0,16647.0,1293.0,0.0,1456.0,8.0,724.0,27,145
288,3683.0,1740.0,790.0,863.0,125.0,0.0,42.0,0.0,112.0,27,149
289,4243.0,1598.0,1320.0,995.0,210.0,0.0,45.0,1.0,60.0,27,151
290,1590.0,21.0,831.0,428.0,279.0,0.0,14.0,0.0,11.0,27,155
291,9081.0,3984.0,3171.0,1260.0,103.0,2.0,444.0,2.0,91.0,27,157
292,7547.0,4535.0,1838.0,820.0,86.0,1.0,177.0,0.0,28.0,27,161
293,95796.0,77864.0,1826.0,14206.0,612.0,0.0,352.0,47.0,436.0,27,163
294,2799.0,1004.0,702.0,746.0,240.0,3.0,62.0,0.0,29.0,27,167
295,19466.0,10319.0,3032.0,4646.0,617.0,9.0,581.0,6.0,108.0,27,169
296,49097.0,34136.0,6538.0,6473.0,536.0,10.0,797.0,11.0,402.0,27,171
297,4088.0,1822.0,1191.0,828.0,103.0,0.0,73.0,0.0,46.0,27,173
298,9078.0,3013.0,1486.0,4227.0,5.0,0.0,233.0,0.0,17.0,29,001
299,6799.0,2192.0,731.0,3144.0,77.0,1.0,278.0,15.0,344.0,29,003
300,2549.0,1091.0,292.0,928.0,14.0,0.0,35.0,0.0,175.0,29,005
301,9349.0,3987.0,906.0,4117.0,2.0,0.0,275.0,0.0,2.0,29,007
302,13872.0,2877.0,4129.0,5103.0,28.0,0.0,1494.0,26.0,127.0,29,009
303,4830.0,1937.0,1303.0,1176.0,41.0,0.0,334.0,0.0,23.0,29,011
304,6529.0,1118.0,298.0,3703.0,679.0,2.0,618.0,0.0,85.0,51,005
305,5034.0,28.0,618.0,3561.0,402.0,0.0,375.0,34.0,0.0,51,007
306,6158.0,49.0,665.0,4504.0,504.0,0.0,381.0,0.0,0.0,51,011
